channel_id,title,description,subscriber_count,video_count,view_count,topics
UCf1XIplYiqNv9baGsFHwPPQ,WildLens by Abrar,"I'm Abrar Hassan, travel vlogger Riding around the world on my Motorcycle.
For Business Inquiries only:
Business@Wildlensbyabrar.com",1810000,516,364344009,"Tourism,Lifestyle_(sociology),Vehicle"
UCwTrHPEglCkDz54iSg9ss9Q,kanalgratisdotse,"Check out our other channels:
@kanalgratisdotfr 🇫🇷
@kanalgratisdotde 🇩🇪
@kanalgratisdotnl 🇳🇱
@kanalgratisdotes 🇪🇸
@kanalgratisdotcom 🇺🇸

Welcome to kanalgratisdotse - the largest angling devoted channel in Scandinavia!

We are a YouTube-channel all about fishing. Pike fishing, fly fishing, sea fishing, coarse fishing - you name it. We are just as passionate about fishing as we are about filming and our goal is to give you the best fishing films on YouTube. 

New videos every week. Subscribe and stay tuned for more free high quality fishing films online!",380000,1519,159906550,"Hobby,Lifestyle_(sociology),Pet"
UC_x_0w8z3tgPSSctfJR0lNQ,eeddspeaks,"Spontaaneja videoita minua kiinnostavista asioista ja elämyksistä sekä tietysti hauskanpitoa tubekaverien kanssa!

CONTACT ME!
s-postin saat esille kun klikkaat kaupalliset tiedustelut ruutua :)

SOMET:
SNAPCHAT: eeddspeaks
Instagram: http://instagram.com/eeddspeaks
Facebook: http://facebook.com/eeddspeaks
Twitter: http://twitter.com/eeddspeaks
TikTok: https://tiktok.com/@eeddspeaks

Kaupalliset tiedustelut sähköpostin kautta.",342000,795,85654630,"Food,Lifestyle_(sociology),Technology"
UCxl_etcRcrFMYul-5N0u1Mg,Talasbuan,"Not far from the edge of the mountain, lies Talasbuan fäbod. For about 80 years it stood empty before we decided to give new life to the old place. The area has been a place filled with fäbodar and throughout the years the cowbells have chimed through these forests. 

The 1st of February 2017 we published our first vlog, and have been making them since. We can combine Mathias love for filming and photo with all our projects and our wish to show people what we are doing and thinking. 

Welcome to join us on our journey,

Tova and Mathias



Interact with us on other platforms ↓
",277000,170,29841054,"Lifestyle_(sociology),Hobby"
UCfMgKSxyQ9KnbjY6L6JKKiQ,Erik Normark,"Nature and outdoor videos made by Erik Normark. I live in the northern part of Sweden, where I spend as much time as I can out in the free nature, in all seasons, in every weather. Welcome to explore the quiet atmosphere in my videos. I hope you will enjoy them!

Erik",177000,286,30125484,"Tourism,Lifestyle_(sociology),Hobby"
UCieggFQROU2nu5fXmevY21A,Vinkare,"Tervetuloa Vinkareen kanavalle! Tälle kanavalle ilmestyy monipuolista sisältöä omasta elämästäni! Pidän valokuvaamisesta, videokuvaamisesta, matkailusta ja eläimistä. Innostun herkästi myös kaikesta elektroniikasta ja välillä testailen tuotteita videoiden muodossa. 

Seuraa Somessa!
twitter: https://twitter.com/kankareville
ig: http://instagram.com/kankareville
facebook: https://www.facebook.com/Krouppi
Twitch: https://go.twitch.tv/vinkare

CONTACT / yhteydenotot:
groupblogshow@gmail.com",176000,617,58212773,"Food,Lifestyle_(sociology)"
UC_LvdhPHtldPWK497H39qxA,Dave Cad,"Hi! I'm Dave Cad. I'm a British guy living in Helsinki with my wife Cat and son Leo. I'm just living life and having fun along the way. Why not join me on my adventures!

Follow me on Instagram: https://www.instagram.com/dave.cad",165000,458,44172893,"Entertainment,Lifestyle_(sociology),Food"
UCsSIwgydxLs24ei6WxExEBg,Biisonimafia Adventure,This is Kaitsu's World. Awesomeness lives here!,138000,1082,56259882,"Lifestyle_(sociology),Hobby"
UCoPDxZ-Nq_v8l1ktU98SzEQ,Leo Kast,"Auf meinem YouTube Kanal teile ich mit euch meine Erlebnisse und Erfahrungen auf und mit dem MTB. Ich schraube gerne an meinen Bikes und deshalb findet ihr hier auch einige Tutorials mit nützlichen Tipps und Tricks. Zu all meinen Videos gibt es auch eine Prise Humor, wenn es nicht gerade ernst bergab geht und ich noch Luft zum sprechen finde! Viel Spaß beim dabei sein!

IMPRESSUM
Inhaber: Leo Kast
c/o Postflex #3790
Emsdettener Str. 10
48268 Greven
❌Keine Pakete oder Päckchen zusenden - Annahme wird verweigert!

Email: info@leokast.de
USt.Id.: DE319003465
Inhaltlich verantwortlich gemäß § 5 TMG ist Leo Kast

Erklärung für die Nutzung der Partnerprogramme hier zu finden: https://www.leokast.de/impressum/",127000,709,34507160,"Vehicle,Hobby,Lifestyle_(sociology),Sport"
UC-8lT87E9WydWRGtk9MnCKw,Sanna Vaara,"I'm a nature lover and creative soul living far North of Finland. I live in a remote village, in an old farmhouse, and seek inspiration in the wild nature around me. I create photographs, videos, and music, inspired by this Nordic nature and its magic. Welcome to my world 💛

Support my work: 
✨JOIN my Nordic Family here on YouTube for extra content: https://www.youtube.com/channel/UC-8lT87E9WydWRGtk9MnCKw/join
✨PRINSTHOP: https://sannavaara.com/shop/
✨DONATE: https://www.paypal.com/donate/?hosted_button_id=32K3SBPW6P3YU

Welcome to my world: 
✨Website: https://sannavaara.com
✨Instagram:   / sanna.vaara
",102000,68,4188693,"Hobby,Lifestyle_(sociology)"
