video_id,title,description,channel_id,channel_title,view_count,like_count,comment_count,topics,latitude,longitude,published_at,duration,url,national_park
mqhdVVNl5aY,Through the Arctic Wilderness of Lapland | Skiing Hike in Pallas-Yllästunturi National Park,"This video is from our four-day skiing hike in the national park of Pallas-Yllästunturi, here in Lapland, Finland. I think these views were one of the most beautiful I've ever seen in my life. The Arctic wind blew throughout our hike and made everything even more ruthless than it is. Winter is tough. 

Still, thanks to good preparation and cozy wilderness huts, our trip was warm and succeeded. I felt lighter and refreshed. Maybe the arctic wind blew away something unnecessary from me, too. 

*
I'm a nature lover and creative soul living far North of Finland. I live in a remote cabin with my dog, travel in the North, and seek inspiration in the wild nature around me.

I create photographs, videos, and music, inspired by this Northern nature and its magic.

Welcome to my world 💛

Blog: https://sannavaara.com
Print shop: https://sannavaara.com/shop/
Instagram: https://www.instagram.com/sanna.vaara/",UC-8lT87E9WydWRGtk9MnCKw,Sanna Vaara,7205.0,547.0,45.0,"Hobby,Lifestyle_(sociology),Tourism",,,2023-02-25 18:55:32+00:00,PT7M37S,https://www.youtube.com/watch?v=mqhdVVNl5aY,Pallas-Yllästunturi
WfNytpXKgpw,Ruska ajelu Päijänne näkymin Pulkkilanharjulla,"Ruska retki Päijät-Hämeessä tarjosi värikästä nähtävää , ajaessamme Pulkkilanharjun kansallispuiston ja Päijänteen maisemissa",UC-fMaGF3Cli5K2H9g6s02VQ,Senioritubettaja,2538.0,107.0,22.0,Lifestyle_(sociology),,,2023-11-12 12:00:22+00:00,PT12M56S,https://www.youtube.com/watch?v=WfNytpXKgpw,Päijänne
vDGfGqhWm1o,Caravan & Matkakohteita Suomi Jakso 11 Vääksyn Matkaparkki,Päijänteen ja Vesijärven välisellä kannaksella Vääksyn kanavan lähellä oleva kuuden auton matkaparkki.Upeassa vanhassa miljöössä lunnontilassa olevan Vääksyjoen virratessa vieressä,UC-fMaGF3Cli5K2H9g6s02VQ,Senioritubettaja,2086.0,69.0,6.0,"Lifestyle_(sociology),Tourism",,,2020-10-09 03:40:46+00:00,PT9M42S,https://www.youtube.com/watch?v=vDGfGqhWm1o,Päijänne
hSaAxrvjknI,"#REISSUVIDEO|   Vääksy-Pulkkilanharju-Sysmä  keväinen maisemamatka,upein Päijänne näkymin",Lähdimme huhtikuun puolivälissä upeana aurinkoisena päivänä ajelemaan kohti Camping Sysmään kirkkaan sinitaivaan alla.Pulkilanharjulla näimme Päijänteen Asikkalaselän jo vapautuneen jäistä kun taas toinen puoli Hinttolanselkä oli vielä jäässä.Näitä maisemia olen ihaillut jo reilut kuusi vuosikymmentä eikä niihin voi kyllästyä koskaan.Katso ja ihastu sinäkin.Tilaa kanava & hyppää rattaille.,UC-fMaGF3Cli5K2H9g6s02VQ,Senioritubettaja,3858.0,111.0,17.0,"Lifestyle_(sociology),Tourism",,,2021-05-11 04:00:26+00:00,PT17M13S,https://www.youtube.com/watch?v=hSaAxrvjknI,Päijänne
-tQqAbilfzg,Suomen paras leirintäalue 2021 Camping Sysmä | Syysloma,Lokakuun lopussa oli upea kokemus ennättää nähdä Päijänne ja Pulkkilanharju ruskan väreissä matkalla camping Sysmään.,UC-fMaGF3Cli5K2H9g6s02VQ,Senioritubettaja,3390.0,136.0,23.0,"Lifestyle_(sociology),Tourism",,,2023-11-19 12:00:00+00:00,PT12M8S,https://www.youtube.com/watch?v=-tQqAbilfzg,Päijänne
0EY-gwN-axA,Retkeilyvarusteet esittelyssä - Pakkasyö ultrakevyessä teltassa Liesjärven kansallispuistossa,"Tällä videolla esittelen joitain kevytretkeilyvarusteita joita omistan. Samalla vietetään kylmä yö Liesjärven kansallispuistossa. Makuupussini comfort lämpötila on +4 °C ja yöllä pakkanen meni -5 celsius asteeseen.

Varusteet joita esittelen:
Lanshan pro 2 - Ultrakevyt teltta
Therm a rest Neoair Xtherm - Ilmatäytteinen makuualusta
Toaks 750ml titaanikattila
Sea to Summit titaanilusikka
Fjällräven Expedition pack down hoodie - untuvatakki",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,11725.0,378.0,132.0,"Hobby,Lifestyle_(sociology),Tourism",60.6535892,23.8977183,2021-10-31 10:13:59+00:00,PT36M32S,https://www.youtube.com/watch?v=0EY-gwN-axA,Liesjärvi
ufcDSSxwQR0,Retkeily - Ilomantsin Taitajan taival vaellusreitillä ja Hiisilammen laavulla,"Retkeily Ilomantsissa. Petkeljärven kansallispuistosta lähtevä Taitajan taival niminen vaellusreitti on 32 km pitkä ja sopii useine laavuineen mainiosti myös retkeilyyn. Teimme talvisen päiväretken patikoiden Ruhkarannan kohdalta Hiisilammen laavulle ja takaisin. Pääsin vihdoin testaamaan uutta Scandinavian Forest Axe kirvestä kunnolla ja hyvältä se vaikutti, kuten pitikin. Alun perin tarkoitukseni oli tehdä tuolla reitillä talvivaellus, mutta päätimmekin keskittyä tällä Itä-Suomen matkalla retkeilyyn ja yhden vaelluksen sijaan teimmekin useamman päiväretken.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,4816.0,151.0,33.0,"Hobby,Lifestyle_(sociology),Tourism",62.5904329,31.1790635,2020-12-29 12:00:31+00:00,PT12M49S,https://www.youtube.com/watch?v=ufcDSSxwQR0,Petkeljärvi
VL2kf5CCUB4,Vegesakke - Matkalla Pohjoiseen (Official Music Video),"""Matkalla Pohjoiseen"" on kappale jonka luomiseen sain inspiraation omista vaelluskokemuksistani sekä jaloviinasta. Toimin tässä kappaleessa säveltäjänä, sanoittajana, laulajana, kitaristina sekä huuliharpistina. 

Peter Roen kädenjälki kuuluu kaikessa muussa. Rummut, basso, syntikka, taustalaulu sekä kappaleen lopullinen masterointi on hänen käsialaansa. Peterillä on oma youtubekanava eli käykää siellä näyttämässä supporttia!
https://www.youtube.com/channel/UChBPAnbOE1bTbvEp-dttZXA

Kappale löytyy myös Spotifystä ✌️

Video on kuvattu Kolin kansallispuistossa.

Sanat:

Mä nousen vuoret ylös ja lasken kosket alas,
meen erämaahan tuun kokemusta rikkaampana takas

sytytän tulet vaikka märästä puusta,
luen ilman suunnat auringosta tähdistä ja kuusta

rinkka painaa ja maisemat vaihtuu,
tuoreet harjukset nuotiolla paistuu

liikun kesät talvet joskus myös keväällä,
Jallupullo on osa meikäläisen leirielämää

kitara soi ja porot juoksee karkuun,
nää maisemat vie mielen takas aikojen alkuun

tunnet olevas osa tätä luontoo,
se kilometrien myötä vaan muuttaa sen muotoo

jänkät kairat tunturit ja purot,
näissä maisemissa kelpaa vetää aamupalamurot

kosken niskalt löytyy taimenta ja lohta
nyt on edessä taas koko vuoden suurin kohokohta kun

oon matkalla pohjoseen,
etsimään onnee ja täältä mä löydän sen

oon erämaan kulkuri,
samoon metsissä ja nousen tunturiin

on matkalla pohjoseen,

oon erämaan kulkuri,
samoon metsissä ja nousen tunturiin

nyt on selkä kipee, eikä teltas tullu unta
oliks näit hemmetin itikoita viime vuonnaki näin monta?

askel painaa kantapäässä hiertymä
todellisuus vastaan lomaesitteen mielenyhtymä

tää kartta on vinossa tai sit kompassi on rikki
piti kävellä suoraan mut tais tulla ympyrä lenkki

mikä on toi kartal näkyvä piste
taidan olla samas paikas ku kaks tuntia sitte

hemmetti sentää ei kännykäs oo kenttää,
pitää pari kertaa hemmetin syvään hengittää

ottaa kivet pois kengistä mä en vaella missään jengissä 
pääasia et pääsisin ees pois täältä hengissä

ruuat on loppu viinat on loppu
nyt on vuokramökille taas jo jonkun sortin hoppu
    
voi olla et aika kultaa muistot
ja ens vuonna kierrän taas nää samat kansallispuistot kun

oon matkalla pohjoseen,
etsimään onnee ja täältä mä löydän sen

oon erämaan kulkuri,
samoon metsissä ja nousen tunturiin

on matkalla pohjoseen,

oon erämaan kulkuri,
samoon metsissä ja nousen tunturiin",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,46371.0,864.0,161.0,"Music,Pop_music",63.1,29.8,2021-01-29 11:30:30+00:00,PT3M6S,https://www.youtube.com/watch?v=VL2kf5CCUB4,Koli
wvRt9JUjEx4,3 päivän vaellus yksin Patvinsuon kansallispuistossa - yksinvaellus,"Olen useamman vuoden kehittänyt tietotaitoani sekä oikeanlaista varustusta kohti telttaretkikunta tyyppistä vaeltamista. Tänä keväänä minun oli tarkoitus hiihtää 5 päivää käsivarren erämaassa, merkittyjen reittien ulkopuolella ja pysytellen poissa autiotuvista. Valitettavasti käytännön järjestelyt eivät onnistuneet tälle reissulle. Sain kuitenkin järjestettyä mukavan muutaman päivän yksin vaelluksen Patvinsuon kansallispuistoon. Tarkoitus oli hieman totutella käyttämään tiettyjä varusteita jotka minulla olisi ollut / on ensi kaudella mukana myös haastavammissa olosuhteissa. Nyt kuitenkin säät hölli kulkijaa ja tämmöinen telttaretkikunta tyyppinen varustautuminen noissa olosuhteissa näyttää jo hieman koomiselta 😅

Musiikki: Cabin Echoes & Samuli Raappana

Vaellus 2023, Retkeily, yksinvaellus, vaellus yksin, Jack Wolfskin, Hilleberg Nallo 3 Gt, Jack Wolfskin Discovery, Retkeilyvarusteet, Vaellusvarusteet


0:00 - 0:25 Kartta-animaatio
0:25 - 0:53 Intro
0:53 - 2:25 Kurkilahti - Teretinniemi
2:25 - 4:35 Teretin leiripaikka
4:35 - 5:56 Teretinniemi - Majaniemi
5:56 - 6:55 Leiriytyminen ja tunneliteltan pystytys
6:55 - 8:30 Lumikiilat ja niiden käyttö
8:30 - 10:55 Makuupussi ja keskustelua retkeilystä
10:55 - 11:55 Bensakeittimen sytytys keitinlaatikossa
11:55 - 12:57 Retkiruokaa ja iltatoimet
12:57 - 13:23 Nightlapse (musiikki: Cabin Echoes)
13:23 - 15:00 Lumen sulattaminen ja makuupussin kuivaaminen
15:00 - 16:52 Leirin purku ja ahkion pakkaaminen
16:52 - 23:40 Majaniemi - Pirskalampi
23:40 - 25:30 Retkiruokaa ruokatermarista
25:30 - 25:57 Pirskalampi - Lahnalampi
25:57 - 26:35 Lahnalampi - Nälmänjoki
26:35 - 29:35 Telttarulla (Expedition Mode) tunneliteltan pystytys
29:35 - 29:56 Patvinsuon kansallispuisto ilmasta (musiikki: Cabin Echoes)
29:56 - 32:30 Lumen sulattaminen ja leirielämää
32:30 - 33:25 Miten yö meni?
33:25 - 35:11 Routamatto tunnelitelttaan
35:11 - 36:28 Aamupala retkellä (retkipuuro)
36:28 - 37:00 Joku ihme jätkä hiihti ohi
37:00 - 38:55 Nälämänjoki - Kurkilahti",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,13558.0,419.0,89.0,"Hobby,Lifestyle_(sociology),Tourism",,,2023-04-14 14:11:15+00:00,PT38M56S,https://www.youtube.com/watch?v=wvRt9JUjEx4,Patvinsuo
s72SRVY2_nk,4 päivän Vaellus UKK:ssa Lapissa,"Vaellus Lapissa, Urho Kekkosen kansallispuistossa. Lähdimme liikkeelle Aittajärveltä ja puolessa välissä vaellusta saimme ajatuksen vaeltaa ""puiston halki"" kiilopäälle asti ja keksiä sitten tavan päästä takaisin autolle. Matkalla oli Porttikoski, Lankojärvi sekä Niilanpää. Näkemättä jäi tällä kertaa Luirojärvi ja Sokosti. Tällä vaelluksella minulla oli ensi kertaa testissä uusi Fjällräven Kajka rinkkani. Teen siitä mahdollisesti arvosteluvideon tulevaisuudessa ja kerron miten se vertautuu Savotta Jääkäri L rinkkaan omien kokemuksieni mukaan.

Samalla reissulla kuvasimme myös musiikkivideota Itäkairan Prinsessa biiisiin.

Iso kiitos Peter Roe:lle jonka musiikkeja kaksi viimeistä mahtipontista kappaletta ovat. Käykää näyttämässä supporttia myös Peterin vaellus aiheiselle youtubekanavalle:
https://www.youtube.com/channel/UChBPAnbOE1bTbvEp-dttZXA

Vaellus, Vaellus Lapissa, Urho kekkosen kansallispuisto, UKK",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,21001.0,397.0,91.0,"Hobby,Lifestyle_(sociology),Tourism",68.1666667,28.25,2021-06-15 07:14:25+00:00,PT34M51S,https://www.youtube.com/watch?v=s72SRVY2_nk,Urho Kekkonen
